"TRANSECT_ID" "n" "ICOV" "meanpopsize" "rangescore" "transect_lat" "transect_lon" "sppnum" "rangescore_2"
"18" "ES-CTBMS.52" 14 4.15139136076375 0.237022866018227 0.851410724134755 2045415.28571429 3594582.71428571 26 0.724900221171669
"19" "ES-CTBMS.55" 14 5.61158764862309 0.62516479197695 -0.399088969352878 2149065.44444444 3640122.44444444 77 0.159272005459142
"20" "ES-CTBMS.58" 16 2.47595932981772 1.82093032021229 0.603062043244148 2067807.55555556 3610572.66666667 79 0.363683828001807
"21" "ES-CTBMS.59" 15 2.42518147289454 0.393124593875546 0.785629021909153 2147265.6 3749763.6 25 0.617212960065932
"22" "ES-CTBMS.60" 16 2.1435164485247 0.574406870157173 0.802832480579109 1896416.88888889 3803356 20 0.644539991872806
"23" "ES-CTBMS.61" 16 2.2448974338276 0.381975307824968 0.953220200524472 1891594.58333333 3828584.33333333 21 0.908628750687915
"24" "ES-CTBMS.66" 14 3.49276387373789 0.338589229469867 0.173594753003348 2157542.85714286 3550733.57142857 66 0.0301351382702933
"25" "ES-CTBMS.67" 15 2.25326684079342 0.186860030257167 1 1997907.75 3538295.875 11 1
"26" "ES-CTBMS.68" 15 2.28759131672327 0.496690099117256 0.894411980938345 2076326.42857143 3672450.28571429 43 0.799972791646054
"27" "ES-CTBMS.69" 14 1.9125724003324 0.493543235229792 0.74450301890363 2077960.33333333 3679290.88888889 42 0.554284745156619
"28" "ES-CTBMS.72" 14 4.41153394333504 0.971335169959998 0.189193608575134 2155687.57142857 3649981.71428571 69 0.0357942215256812
"29" "ES-CTBMS.75" 14 3.34902716823915 0.374000964743633 0.849337620221686 2087811.28571429 3661716.57142857 50 0.721374393123838
"30" "ES-CTBMS.76" 10 5.04036807517184 0.302814910237306 0.722373538740204 2079695.1 3659884.3 33 0.521823529472045
"31" "ES-CTBMS.77" 13 5.75200504984629 0.685717407643808 0.73147908610103 2127429.61538462 3727200.38461538 63 0.535061653403197
"32" "ES-CTBMS.79" 11 2.55822058329474 1.0154033103 0.514084678472594 2103531.71428571 3646183.14285714 69 0.26428305664027
"33" "ES-CTBMS.8" 18 2.16495644129803 0.490032389621114 0.823615720689966 2069308.28571429 3656035.21428571 57 0.678342855367653
